,feature,target
538,"Given the large amounts of currency handled within a casino, both patrons and staff may be tempted to cheat and steal This house would ban gambling",1
539,Abortion is deemed a fundamental right This house would ban partial birth abortions,0
540,Excess weight has reached epidemic proportions globally This house would make physical education compulsory,1
541,The right of the Israeli people to a life in peace and security without permanent threat from rocket attacks must be guaranteed This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
542,"without an intellectual property rights regime, authors would have no incentive to further create This house would abolish intellectual property rights",0
543,"children don't automatically imitate aggression, but rather consider the context of aggression This house believes that the sale of violent video games to minors should be banned",0
544,it is more difficult for only children to cooperate in a conventional family environment This house supports the one-child policy of the republic of China,0
545,The military draft negates man’s fundamental right—the right to life This house would reintroduce national service,0
546,"the history of the drive for compulsory schooling is not guided by altruism, but by a desire to coerce the population into a mold desired by the Establishment This house supports raising the school leaving age to 18",0
547,most guns are in the hands of people who are unlikely to misuse them This house would limit the right to bear arms,0
548,Inactivity is one of the leading preventable causes of death worldwide This house would make physical education compulsory,1
549,the market on its own does not allocate resources efficiently This house would unleash the free market,0
550,moderate exercise has a beneficial effect on the human immune system This house would make physical education compulsory,1
551,Condoms are a sin in any circumstances This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,1
552,Open source software is innovative This house believes governments should choose open source software in order to encourage its use,1
553,Palestinian armed groups committed war crimes and possibly crimes against humanity This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
554,free trade would reduce war This house would unleash the free market,1
555,Nuclear proliferation increases the chance of inter-state nuclear conflict This house believes all nations have a right to nuclear weapons,0
556,economists doubt that a correlation between population reduction and economic growth exists This house supports the one-child policy of the republic of China,0
557,The cost of repairing damaged ecosystems is considered to be much higher than the cost of conserving natural ecosystems This house believes that endangered species should be protected,1
558,The images in advertising depict stereotypical gender roles This house believes that advertising is harmful,1
559,As an alternative energy source a hydroelectric power source is cheaper than both nuclear and wind power This house would build hydroelectric dams,1
560,Subsidies tend to be expensive and regressive This house would subsidize poor communities,0
561,Abstinence-only education will result in decreased rates of teenage pregnancy and STD infection This house would only teach abstinence for sex education in schools,1
562,the Crown is a guarantor against the misuse of constitutional power by politicians This house would abolish the monarchy,0
563,"Innovations have come, and continue to come, from the open-source world This house believes governments should choose open source software in order to encourage its use",1
564,granting developers temporary monopolies over their works encourages further development and creativity This house would abolish intellectual property rights,0
565,multiculturalism is a tool for instilling students with pride and confidence in their unique and special backgrounds This house would embrace multiculturalism,1
566,The blasphemy law is now a dead letter This house would criminalize blasphemy,0
567,abuses of human rights have gone unpunished under truth commissions This house supports the use of truth and reconciliation commissions,0
568,life in much of southern Israel was paralyzed by Hamas rocket and mortar fire This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
569,Subsidies produce inefficiencies This house would subsidize poor communities,0
570,children may imitate aggressive behaviors witnessed in media This house believes that the sale of violent video games to minors should be banned,1
571,Multiculturalism would lead to acceptance of barbaric practices This house would embrace multiculturalism,0
572,Freer markets result in freer people This house would unleash the free market,1
573,Wind power is rated as the cleanest source of renewable energy This house believes that wind power should be a primary focus of future energy supply,1
574,The First Amendment's protection does not end at the spoken or written word This house would prohibit burning the stars and stripes,0
575,"the people', not the members of one family, should be sovereign This house would abolish the monarchy",1
576,"Among sources of renewable energy, hydroelectric plants have the advantages of being long-lived This house would build hydroelectric dams",1
577,"Reasonable restrictions can be imposed on the freedom of speech and expression, in the interest of the security of the State This house believes that it is sometimes right for the government to restrict freedom of speech",1
578,fewer restrictions on handguns will result in increasing numbers of injuries and deaths This house would limit the right to bear arms,1
579,Governmental redistribution of wealth improves social stability This house would subsidize poor communities,1
580,Abstinence-only programs delay the initiation of sex This house would only teach abstinence for sex education in schools,1
581,Nuclear proliferation increases the chances of nuclear material falling into the hands of non-state groups This house believes all nations have a right to nuclear weapons,0
582,The States' have the authority to promulgate flag desecration laws under their general police power to safeguard public safety and welfare This house would prohibit burning the stars and stripes,1
583,many tower blocks saw rising crime levels This house would build high rises for housing,0
584,"Many creative, social and emotional benefits from video game play have been documented - even games with violent content This house believes that the sale of violent video games to minors should be banned",0
585,Contact sports have a higher risk of transmission of blood-borne disease between players This house would ban boxing,1
586,Population control involve measures that improve people's lives This house supports the one-child policy of the republic of China,1
587,The presence of wind energy can reduce costs for consumers This house believes that wind power should be a primary focus of future energy supply,1
588,Collective bargaining facilitates and encourages the amicable settlements of disputes between employees and their employers This house would abolish all collective bargaining rights claimed by trades unions,0
589,advertisement images disempower and objectify the consumer This house believes that advertising is harmful,1
590,open source may allow hackers to know about the weaknesses or loopholes of the software more easily than closed-source software This house believes governments should choose open source software in order to encourage its use,0
591,Welfare only breeds dependence on the government This house would subsidize poor communities,0
592,Contraception is always seriously evil This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,1
593,each organism has a purpose and a reason for being This house believes that endangered species should be protected,1
594,video games have many healthy and positive aspects This house believes that the sale of violent video games to minors should be banned,0
595,Flag burning is protected by the First Amendment This house would prohibit burning the stars and stripes,0
596,The prohibition of an effective means of self defense is considered to be unethical This house would limit the right to bear arms,0
597,race and sex shouldn't matter when getting a job This house believes in the use of affirmative action,0
598,"left to its devices, the market will adjust efficiently This house would unleash the free market",1
599,ASEAN is criticised for being too soft in its approach to promoting human rights and democracy This house would disband ASEAN,1
600,"abstinence-only education is motivated by religious teachings, which have no place in the classroom This house would only teach abstinence for sex education in schools",0
601,"The universe includes ideas not perceptible to mankind (or not always perceptible), and there must therefore exist an omniscient superobserver This house believes atheism is the only way",0
602,all government intervention in the economy is wasteful This house would unleash the free market,1
603,"Once a hydroelectric complex is constructed, the project produces no direct waste This house would build hydroelectric dams",1
604,Nuclear disarmament could lead to increased global instability This house believes all nations have a right to nuclear weapons,1
605,abortion is wrong because it deprives the embryo of a valuable future This house would ban partial birth abortions,1
606,people worldwide had been physically displaced as a direct result of dam construction This house would build hydroelectric dams,0
607,The disproportionate and excessive use of force displayed by the Israeli government has resulted in numerous casualties This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
608,A modern wind farm has one of the lowest environmental impacts of all energy sources This house believes that wind power should be a primary focus of future energy supply,1
609,The one child policy has been speculated to be the underlying cause of forced abortions This house supports the one-child policy of the republic of China,0
610,The democratic system provides a way to replace inefficient leaders and policies This house would promote democratization,1
611,"a benevolent deity ought to create only happy creatures, not an imperfect world like the real world This house believes atheism is the only way",1
612,Open source provides a flexibility not available in closed products This house believes governments should choose open source software in order to encourage its use,1
613,The effective prohibition on nuclear proliferation has been characterised as a form of technological apartheid This house believes all nations have a right to nuclear weapons,1
614,Types of affirmative action that give preference to individuals solely based on their race or gender should not be permitted This house believes in the use of affirmative action,0
615,Central economic planning leads towards totalitarianism This house would unleash the free market,1
616,The government of Israel had a policy of deliberately targeting civilians This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
617,Israel has a right to stop weapons from going into Gaza This house believes that Israel should lift the blockade of Gaza,0
618,democracies do not fight one another This house would promote democratization,1
619,there are several significant social and environmental disadvantages of large-scale hydroelectric power systems This house would build hydroelectric dams,0
620,In some of the illegal immigrants' countries of origin humanitarian hardship exists This house believes that the right to asylum should not be absolute,0
621,"The lack of education on safe sex, whether it’s from parents, schools, or otherwise, is a cause of teenage pregnancy This house would only teach abstinence for sex education in schools",0
622,"During Operation Cast Lead, the Israeli Defense Forces did more to safeguard the rights of civilians in a combat zone than any other army in the history of warfare This house believes that Israel's 2008-2009 military operations against Gaza were justified",1
623,Israel's right to defend itself is recognized This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
624,burning the flag is a very offensive gesture that deserves to be formally outlawed This house would prohibit burning the stars and stripes,1
625,"the more active elderly people are, the more likely they are to be satisfied with life This house would institute a mandatory retirement age",0
626,The present system of strong copyrights has been largely successful in financing the creation and distribution of a wide variety of works This house would abolish intellectual property rights,0
627,"A private company will serve the needs of those who are most willing (and able) to pay, as opposed to the needs of the majority This house would unleash the free market",0
628,"Israel ""could not lift the embargo altogether as long as Hamas remains in control"" of Gaza This house believes that Israel should lift the blockade of Gaza",0
629,"the reaction of the armed forces of Israel was condemned as ""disproportional This house believes that Israel's 2008-2009 military operations against Gaza were justified",0
630,"All people have access to the source code, including potential attackers This house believes governments should choose open source software in order to encourage its use",0
631,Certain restrictions on abortion could be used to form a slippery slope against all abortions This house would ban partial birth abortions,0
632,The organisation is viewed as imperialistic This house would disband ASEAN,1
633,"the more freely information flows, the stronger societies become This house believes that it is sometimes right for the government to restrict freedom of speech",0
634,it is inherently immoral to bring people into the world This house would never have children,1
635,The attacks would not contribute to the security of Israel This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
636,the non-dispatchable nature of wind energy production can raise costs for regulation This house believes that wind power should be a primary focus of future energy supply,0
637,Not much support exists for open source software This house believes governments should choose open source software in order to encourage its use,0
638,"fighters wear protective headgear, reducing the number of injuries, knockdowns, and knockouts This house would ban boxing",0
639,Collective bargaining contributes to the effective conduct of public business This house would abolish all collective bargaining rights claimed by trades unions,0
640,Video games develop the individual's intelligence This house believes that the sale of violent video games to minors should be banned,0
641,Migration provides a positive resource for the economy This house believes that the right to asylum should not be absolute,0
642,"an unfettered market"" is the most efficient mechanism to satisfy human needs and channel resources to their most productive uses This house would unleash the free market",1
643,Earmarks are Good for American Democracy This house would abolish congressional earmarks,0
644,personal and technical skills learned in the military will improve later employment prospects in civilian life This house would reintroduce national service,1
645,The government should not interfere with a woman’s ability to have an abortion This house would ban partial birth abortions,0
646,the new pipeline has been beset with cost overruns This house would build the Keystone XL pipeline,0
647,high rates of education are essential for countries to be able to achieve high levels of economic growth This house supports raising the school leaving age to 18,1
648,Multiculturalism hinders equity and equality in society This house would embrace multiculturalism,0
649,Armed citizens play their role in crime control This house would limit the right to bear arms,0
650,pathological gambling is an addiction similar to chemical addiction This house would ban gambling,1
651,allowing law-abiding citizens to carry concealed firearms deters crime This house would limit the right to bear arms,0
652,any equalities achieved will entail future inequalities This house believes in the use of affirmative action,0
653,the embryo has a right to life This house would ban partial birth abortions,1
654,gun possession is a fundamental civil right This house would limit the right to bear arms,0
655,"the existence of the Universe requires an explanation, and the creation of the Universe by a First Cause, generally assumed to be God, is that explanation This house believes atheism is the only way",0
656,Immigrants can swamp a native population and replace its culture with their own This house believes that the right to asylum should not be absolute,1
657,"The longer politicians are in office, the more likely they are to rip us off for their own benefit This house would enforce term limits on the legislative branch of government",1
658,Oil sands extraction is generally held to be more environmentally damaging than conventional crude oil This house would build the Keystone XL pipeline,0
659,all information should be freely distributed and unrestricted This house would abolish intellectual property rights,1
660,The policies' narrow focus leads to coercion and decreased quality of care This house supports the one-child policy of the republic of China,0
661,Hereditary succession is outdated This house would abolish the monarchy,1
662,free speech is what regulates government and regulates law This house believes that the leaking of military documents by Anat Kamm was justified,1
663,Condoms (male or female) are used to protect against STIs This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,0
664,freedom of speech helps to provide a balance between stability and change This house believes that it is sometimes right for the government to restrict freedom of speech,0
665,Evidence has not supported the effective use of abstinence-only sex education This house would only teach abstinence for sex education in schools,0
666,Wind energy does not emit greenhouse gases or carbon dioxide This house believes that wind power should be a primary focus of future energy supply,1
667,the state has no legitimate interest in protecting any or all religions from views distasteful to them This house would criminalize blasphemy,0
668,the lack of perfect information and perfect competition in a free market is grounds for government intervention This house would unleash the free market,0
669,democracy will result in the people's distrust and disrespect of governments This house would promote democratization,0
670,privatization consistently improves efficiency This house would encourage the creation of private universities in the UK,1
671,Criminals are effectively deterred by armed intended victims This house would limit the right to bear arms,0
672,Unborn children have an inherent right to life This house would ban partial birth abortions,1
673,Various forms of online gambling are legal and regulated in many countries This house would ban gambling,0
674,All the utterances intended to endanger the security of the State may be restrained in the interest of the security of the State This house believes that it is sometimes right for the government to restrict freedom of speech,1
675,the extinction of humanity would be the best solution to the Earth's environmental problems This house would never have children,1
676,Race-conscious affirmative action remains necessary to address race-based obstacles This house believes in the use of affirmative action,1
677,Desecration of the flag impugns its value as such a unique national symbol This house would prohibit burning the stars and stripes,1
678,there is no encouragement of those receiving aid to resume working This house would subsidize poor communities,0
679,"while the state has an interest in protecting the fetus ""at some point"", this interest cannot override that of the pregnant woman This house would ban partial birth abortions",0
680,rapid rates of biodiversity loss threatens the sustained well-being of humanity This house believes that endangered species should be protected,1
681,"With no medical data to support the claimed health problems caused by performance-enhancing drugs, it is, at best, questionable This house would permit the use of performance enhancing drugs in professional sports",1
682,Integrating ever-higher levels of renewables is being successfully demonstrated in the real world This house would build hydroelectric dams,1
683,A large increase in population brings certain poverty on the citizenry This house supports the one-child policy of the republic of China,1
684,Sex education programs focusing on both abstinence and contraception have a positive effect on teen sexual behavior This house would only teach abstinence for sex education in schools,0
685,freedom of expression is not absolute and can be limited under certain situations This house believes that it is sometimes right for the government to restrict freedom of speech,1
686,The law against blasphemy complements laws against racial discrimination and incitement to violence This house would criminalize blasphemy,1
687,Short-term sacrifices are necessary for long-term success This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,0
688,Affirmative action programs have at best a negligible impact on the groups they are intended to assist This house believes in the use of affirmative action,0
689,Addicted gamblers cost companies loss of productivity and profit This house would ban gambling,1
690,Hydroelectric plants have long economic lives This house would build hydroelectric dams,1
691,"if, when asked for, there is no visible help from God, there is no reason to believe that there is a God This house believes atheism is the only way",1
692,a society with more equality will have higher aggregate utility This house would subsidize poor communities,1
693,Freedom of speech does not allow a person to contempt the courts This house believes that it is sometimes right for the government to restrict freedom of speech,1
694,condoms protect against sexually transmitted diseases This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,0
695,monopoly can only come about through government intervention This house would unleash the free market,1
696,the Burmese regime has marked certain ethnic minorities such as the Karen for extermination This house would re-engage with Myanmar,0
697,religions provide a net benefit to individuals and society This house believes atheism is the only way,0
698,Safety nets  protect households facing hard times from falling into deeper poverty and help them manage risk This house would subsidize poor communities,1
699,people can improve their health via exercise This house would make physical education compulsory,1
700,when there is economic inequality then political inequality is assured This house would subsidize poor communities,1
701,That government is best which governs least This house would unleash the free market,1
702,wind power produces a net decrease in greenhouse gas emissions and air pollution This house believes that wind power should be a primary focus of future energy supply,1
703,free trade is a large and unambiguous net gain for society This house would unleash the free market,1
704,The combination of attributes which God may be asserted to have are logically contradictory This house believes atheism is the only way,1
705,humanity would be better off without religion or belief in God This house believes atheism is the only way,1
706,Social and political issues surround the issue of immigration This house believes that the right to asylum should not be absolute,1
707,This cycle of violence and retaliation impedes efforts to broker lasting peace in the region This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
708,Students who attend year-round school say that their calendar is more balanced than their peers who have a typical school calendar This house would introduce year round schooling,1
709,Bribes lead to a misdirection of resources This house believes that bribery is sometimes acceptable,0
710,there are reasonable arguments supporting the existence of God This house believes atheism is the only way,0
711,Centralized planning leads to malinvestment of capital This house would unleash the free market,1
712,The idea of multiculturalism had reached the end of its useful life This house would embrace multiculturalism,0
713,government austerity can result in economic expansion This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,0
714,"the more racially diverse a community is, the greater the loss of trust This house would embrace multiculturalism",0
715,all proposed alternatives to copyright protection do not allow for viable business models This house would abolish intellectual property rights,0
716,nuclear holocaust could result in an end to human life This house believes all nations have a right to nuclear weapons,0
717,Nuclear weapons have become a source of extreme risk This house believes all nations have a right to nuclear weapons,0
718,Regulation in markets is rejected as inefficient This house would unleash the free market,1
719,With the open primary more voters become independent and are less likely to participate in the nominating or election processes This house believes that open primaries are the most effective method of selecting candidates for elections,0
720,unionisation produces higher wages (for the union members) at the expense of fewer jobs This house would abolish all collective bargaining rights claimed by trades unions,1
721,failing to stop the illegal immigration waves at an early stage will only lead to much larger waves of illegal immigration in the future This house believes that the right to asylum should not be absolute,1
722,violent games affect students positively and not negatively This house believes that the sale of violent video games to minors should be banned,0
723,religious authorities generally disapprove of gambling This house would ban gambling,1
724,there is an extensive overcapacity of oil pipelines from Canada This house would build the Keystone XL pipeline,0
725,Evidence does not support the use of abstinence only sex education This house would only teach abstinence for sex education in schools,0
726,Patents may hinder innovation This house would abolish intellectual property rights,1
727,Abstinence from reproduction is seen as an altruistic choice This house would never have children,1
728,Israel violated the Fourth Geneva Convention by targeting civilians This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
729,"the pipeline would be ""game over for the planet This house would build the Keystone XL pipeline",0
730,Proprietary software forces the user to accept the level of security that the software vendor is willing to deliver This house believes governments should choose open source software in order to encourage its use,1
731,Excessive population growth may reduce output per worker This house supports the one-child policy of the republic of China,1
732,The right to freedom of speech and expression may be limited when conflicting with other rights This house believes that it is sometimes right for the government to restrict freedom of speech,1
733,Religions often posit facts that are contradicted by scientific evidence This house believes atheism is the only way,1
734,Medical Associations have called for bans on boxing This house would ban boxing,1
735,recognition and rights accorded to specific groups may interfere with the state's need to establish a cohesive identity This house believes in the use of affirmative action,0
736,"where members of minorities see that their specific needs and ambitions have been acknowledged and catered for, they will commit themselves more willingly to accepting the legitimacy of the nation This house would embrace multiculturalism",1
737,The God hypothesis is considered inferior to evolution by natural selection as explanations for the complexity of life This house believes atheism is the only way,1
738,the only way to effectively end violence is by granting amnesties This house supports the use of truth and reconciliation commissions,1
739,The right to collectively bargain is recognized through international human rights conventions This house would abolish all collective bargaining rights claimed by trades unions,0
740,"If, for any reason, the single child is unable to care for their older adult relatives, the oldest generations would face a lack of resources and necessities This house supports the one-child policy of the republic of China",0
741,democracies have ever been found incompatible with personal security or the rights of property This house would promote democratization,0
742,"Israel’s military assault on Gaza was designed to ""humiliate and terrorize a civilian population This house believes that Israel's 2008-2009 military operations against Gaza were justified",0
743,the theory of a universe without a God is preferable to the theory of a universe with a God This house believes atheism is the only way,1
744,immigrants have high rates of criminality This house believes that the right to asylum should not be absolute,1
745,wealth of biodiversity is important for future generations This house believes that endangered species should be protected,1
746,A state law banning certain forms of abortion is unconstitutional This house would ban partial birth abortions,0
747,"Subsidies may distort markets, and can impose large economic costs This house believes that states should not subsidize the growing of tobacco",1
748,species are irreplaceable components of the global ecosystem This house believes that endangered species should be protected,1
749,Protectionism creates poverty This house would unleash the free market,1
750,Vouchers function to increase racial and economic discrimination in schools This house would fund education using a voucher scheme,0
751,Advertising is increasingly invading public spaces This house believes that advertising is harmful,1
752,violent video games can increase children's aggression This house believes that the sale of violent video games to minors should be banned,1
753,greenhouse gas emissions from the reservoir could be higher than those of a conventional oil-fired thermal generation plant This house would build hydroelectric dams,0
754,Government subsides for tobacco farming do not make economic sense This house believes that states should not subsidize the growing of tobacco,1
755,austerity measures tend to be counterproductive This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,1
756,many of the services performed by government could be performed better by the private sector This house would unleash the free market,1
757,Immigrants may overpopulate countries This house believes that the right to asylum should not be absolute,1
758,allowing property rights in ideas and information creates artificial scarcity This house would abolish intellectual property rights,1
759,Israel's UAV attacks were a violation of International Humanitarian Law This house believes that Israel's 2008-2009 military operations against Gaza were justified,0
760,atheistic arguments must ultimately refute themselves if pressed with rigorous consistency This house believes atheism is the only way,0
761,"the welfare state has produced a generation of dependents who, instead of working, rely solely upon the state for income This house would subsidize poor communities",0
762,the military regime in Burma is one of the world's most repressive and abusive regimes This house would re-engage with Myanmar,0
763,Differential treatment of racial groups is intended to ameliorate past discrimination This house believes in the use of affirmative action,1
764,deficit spending may create inflation This house believes that Europe should weaken its austerity measures to guarantee its citizens greater social support,0
765,Exposure alone to media violence does not cause a child to commit crimes This house believes that the sale of violent video games to minors should be banned,0
766,violent games cause youth violence This house believes that the sale of violent video games to minors should be banned,1
767,Affirmative action is designed to improve the well being of perceived backward and under represented communities This house believes in the use of affirmative action,1
768,impersonal market forces protect people from discrimination in their economic activities for reasons unrelated to their productivity This house would unleash the free market,1
769,economic inequality reduces social cohesion and increases social unrest This house would subsidize poor communities,1
770,Self-interested competition in the free market would tend to benefit society as a whole This house would unleash the free market,1
771,The overbearing design of the tower blocks makes them fearsome and unsociable This house would build high rises for housing,0
772,republicanism is the next logical step toward a fully democratic constitution This house would abolish the monarchy,1
773,Patents are obstructing research This house would abolish intellectual property rights,1
774,Only a fraction of all the illegal immigrants is actually eligible for an asylum status This house believes that the right to asylum should not be absolute,1
775,Biodiversity has been critical to advances throughout the field of bionics This house believes that endangered species should be protected,1
776,corrective measures) reduce the overall efficiency of the market economy This house would unleash the free market,1
777,When resources are put into tobacco production they are taken away from food production This house believes that states should not subsidize the growing of tobacco,1
778,people are given greater dignity from choosing their head of state This house would abolish the monarchy,1
779,Only children are more likely to make outside friends This house supports the one-child policy of the republic of China,1
780,Wind power produces no greenhouse gas emissions during operation This house believes that wind power should be a primary focus of future energy supply,1
781,Punishment of dangerous or offensive writings is necessary for the preservation of peace and good order This house believes that it is sometimes right for the government to restrict freedom of speech,1
782,the quality of care may decrease in response to the call for profit-making and efficiency This house believes that housewives should be paid for their work,0
783,Hamas attacks are violations of basic humanitarian law This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
784,the circumstances of wartime permit greater restrictions on free speech than would be allowable during peacetime This house believes that it is sometimes right for the government to restrict freedom of speech,1
785,Wind power has gained very high social acceptance This house believes that wind power should be a primary focus of future energy supply,1
786,"The natural flow of silt down the river will be interrupted, affecting downstream ecosystems This house would build hydroelectric dams",0
787,20th century advertising is the most powerful and sustained system of propaganda in human history This house believes that advertising is harmful,1
788,working parents wish their children to be supervised This house would introduce year round schooling,1
789,Democracy in general is criticized for ignoring the rights of the minority This house would promote democratization,0
790,private market factors can more efficiently deliver many goods or service than governments due to free market competition This house would unleash the free market,1
791,Free software can result in permanently lower costs compared to proprietary software This house believes governments should choose open source software in order to encourage its use,1
792,the Church should not and could not change its long-standing teaching This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,1
793,Freedom of expression is subject to certain restrictions This house believes that it is sometimes right for the government to restrict freedom of speech,1
794,Coercive measures were used to achieve the desired results of the one-child policy This house supports the one-child policy of the republic of China,0
795,democracies tend to be wealthier than other countries This house would promote democratization,1
796,Not everyone benefits equally from exercise This house would make physical education compulsory,0
797,"Frequently, countries of asylum are some of the world?s poorest nations and cannot handle the large influx of persons This house believes that the right to asylum should not be absolute",1
798,only in a democracy the citizens can have a share in freedom This house would promote democratization,1
799,abortion is justifiable if a continuation of pregnancy might cause the woman severe physical or psychological harm This house would ban partial birth abortions,0
800,youths should have the right to control and direct their own learning This house supports raising the school leaving age to 18,0
801,The blockade is considered illegal This house believes that Israel should lift the blockade of Gaza,1
802,inadequate amounts of goods are entering Gaza to meet Gaza's humanitarian and reconstruction needs This house believes that Israel should lift the blockade of Gaza,1
803,Freedom of speech and expression can not be an excuse for distribution of indecent and immoral content This house believes that it is sometimes right for the government to restrict freedom of speech,1
804,people should make their own choices with their money This house would unleash the free market,1
805,Wind farms can interfere with ground radar systems This house believes that wind power should be a primary focus of future energy supply,0
806,The laws of succession are held by some to be sexist This house would abolish the monarchy,1
807,"unlike conventional weapons, nuclear weapons successfully deter all-out war between states This house believes all nations have a right to nuclear weapons",1
808,To stay healthy it is important to engage in physical activity This house would make physical education compulsory,1
809,A state-monopolized function is prone to corruption This house would encourage the creation of private universities in the UK,1
810,Hamas has used terrorism for years against Israeli children This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
811,Democracies have the potential to put in place better education This house would promote democratization,1
812,the allocation of goods and services by a free market is not efficient This house would unleash the free market,0
813,human reason is incapable of providing sufficient rational grounds to justify the belief that deities either do or do not exist This house believes atheism is the only way,0
814,Abstinence-only education programs often provide inaccurate information about contraceptives and sexuality This house would only teach abstinence for sex education in schools,0
815,Government has no right to force doctors to perform any procedure other than what they felt would be the safest This house would ban partial birth abortions,0
816,there is not good argument for God's existence that arises from pure reason alone This house believes atheism is the only way,0
817,"the Catholic Church should support condoms used to prevent serious diseases such as AIDS, because non-use is tantamount to murder This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception",0
818,the best interests in a given society are achieved by allowing its participants to pursue their own financial self-interest with little or no restraint This house would unleash the free market,1
819,Multicultural education provides a relatively fairer learning environment for international students This house would embrace multiculturalism,1
820,the right to life begins at conception This house would ban partial birth abortions,1
821,The sovereign knows the interests of his subjects better than they themselves This house would abolish the monarchy,0
822,No evidence has found that violent games are psychologically harmful to minors This house believes that the sale of violent video games to minors should be banned,0
823,condom use will prevent the spread of AIDS This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,0
824,Copyright is a fundamental right for both creators and consumers This house would abolish intellectual property rights,0
825,Government intervention is seen as harmful This house would unleash the free market,1
826,the human race no longer needs religion This house believes atheism is the only way,1
827,An open primary law is in general unconstitutional This house believes that open primaries are the most effective method of selecting candidates for elections,0
828,democracy would bring peace This house would promote democratization,1
829,Affirmative action policies for specific racial groups guarantee the full and equal enjoyment of human rights and fundamental freedoms This house believes in the use of affirmative action,1
830,Democratic nations have less genocide and politicide This house would promote democratization,1
831,The Gaza blockade inflicted excessive damage to the civilian population in relation to the concrete military advantage expected This house believes that Israel should lift the blockade of Gaza,1
832,There is no connection between exposure to media violence and real life violence This house believes that the sale of violent video games to minors should be banned,0
833,The Israeli government's use of force in the Gaza Strip are acts of self-defense This house believes that Israel's 2008-2009 military operations against Gaza were justified,1
834,artists cannot produce new works without an economic incentive This house would abolish intellectual property rights,0
835,"the rich have an obligation to assist the poor, thus creating a more financially egalitarian society This house would subsidize poor communities",1
836,CCT Programs are efficient tools for reducing poverty and inequality This house would subsidize poor communities,1
837,monarch may have strictly ceremonial duties This house would abolish the monarchy,0
838,affirmative action has undesirable side-effects This house believes in the use of affirmative action,0
839,the decision to abort must be left to the mother and her physician This house would ban partial birth abortions,0
840,there is no convincing evidence that prove that media violence cause violent crime or any type of real life violence This house believes that the sale of violent video games to minors should be banned,0
841,The referee intervenes to avoid unnecessary damage or potential injury This house would ban boxing,0
842,Hydropower can be intermittent This house would build hydroelectric dams,0
843,human beings are the ultimate resource This house supports the one-child policy of the republic of China,0
844,Nuclear weapons decrease the chances of crisis escalation This house believes all nations have a right to nuclear weapons,1
845,students’ attitudes towards school did significantly increase as they spent more time on a year-round schedule This house would introduce year round schooling,1
846,A majority of Americans support a ban on flag-burning This house would prohibit burning the stars and stripes,1
847,Abstinence is the only way to avoid sexually transmitted diseases This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,1
848,legal abortion under medically controlled conditions is preferable to illegal back-alley abortion without proper medical supervision This house would ban partial birth abortions,0
